Entrez Gene IDs	RSCE_10_BC2CTUACXX_AGTTCC_L006_R1.bam	RSCE_12_BC2CTUACXX_TGACCA_L005_R1.bam	RSCE_14_BC2CTUACXX_GTCCGC_L003_R1.bam	RSCE_16_BC2CTUACXX_AGTTCC_L004_R1.bam	RSCE_18_BC2CTUACXX_CAGATC_L003_R1.bam	RSCE_20_BC2CTUACXX_GTGAAA_L005_R1.bam	RSCE_2_BC2CTUACXX_CGATGT_L007_R1.bam	RSCE_4_BC2CTUACXX_TGACCA_L006_R1.bam	RSCE_6_BC2CTUACXX_CTTGTA_L005_R1.bam	RSCE_8_BC2CTUACXX_CCGTCC_L007_R1.bam
29904	1215	1141	808	1219	1977	1742	878	923	895	916
29906	0	0	6	8	4	2	0	0	1	0
29907	182	176	268	380	508	561	270	225	334	356
29909	0	0	0	0	0	0	0	0	0	0
29911	378	315	150	312	238	211	106	119	372	373
29914	259	158	108	197	320	361	238	196	195	176
29915	336	279	402	493	412	467	391	337	429	420
29916	302	216	101	211	197	230	318	289	272	254
29919	320	292	146	220	517	612	346	327	547	491
29920	643	553	589	786	882	891	561	506	941	923
29922	571	605	269	345	322	312	398	312	532	614
29923	325	416	50	63	211	225	269	297	198	206
29924	944	853	340	488	778	738	791	769	1571	1493
29925	424	333	103	253	520	539	265	271	519	531
29926	638	589	439	727	980	1091	401	486	987	1041
29927	4587	3589	4622	6064	8802	9417	2922	2828	7069	6456
29928	814	688	145	264	342	402	692	667	780	807
29929	689	544	274	473	244	250	353	278	354	350
29930	2	1	0	2	0	0	0	0	0	1
29931	1	4	1	1	3	6	32	18	7	18
29933	25	26	46	89	3	3	4	7	3	8
29934	597	511	204	312	295	286	342	337	367	295
29935	5	7	2	1	5	3	2	4	2	1
29937	315	286	370	586	639	821	842	794	829	989
29940	902	953	997	1369	3181	3289	575	711	1424	1576
29941	324	282	358	557	640	567	370	309	154	154
29942	0	1	0	0	1	0	1	1	2	1
29943	42	38	50	132	12	13	37	21	14	6
29944	0	0	2	2	3	1	9	4	0	0
29945	834	721	451	680	936	927	626	548	634	621
29946	192	163	228	354	523	516	664	611	111	101
29947	0	0	0	0	3	0	0	0	0	2
29948	111	69	591	942	332	448	697	479	128	146
29949	0	0	0	1	0	1	0	0	0	1
29950	243	246	225	364	363	463	413	352	102	102
29951	0	0	0	0	0	0	1	2	1	0
29952	686	566	809	1168	577	632	376	320	601	649
29953	17	10	4	3	1	1	9	8	2	1
29954	379	321	349	407	503	506	544	474	776	779
29956	1895	1681	2211	2816	2646	2936	3465	2895	3877	3564
29957	2508	2309	931	1471	6329	6995	1556	1379	1312	1417
29958	12	8	191	271	0	0	0	1	18	22
29959	1417	1229	629	903	2007	2217	2145	2118	2475	2400
29960	923	772	482	626	502	517	712	482	1111	1046
29964	14	14	81	53	43	45	78	66	14	12
29965	258	218	296	399	263	304	90	87	330	294
29966	1703	1448	994	1517	1687	1874	1489	1225	1272	1521
29967	222	197	818	966	1474	1623	455	448	749	740
29968	2058	2008	1012	1336	1048	1151	4799	4165	2024	2146
29969	1355	1203	666	809	983	1006	979	911	1529	1433
29970	433	387	139	317	718	970	245	275	403	405
29974	0	1	0	0	0	0	12	12	0	0
29978	478	339	183	237	132	176	273	209	304	264
29979	3112	2483	2428	3616	2960	3252	3186	2670	3105	2827
29980	461	386	400	612	1169	1109	418	389	581	500
29982	387	337	307	450	1250	1384	404	402	512	535
29984	517	447	163	321	571	551	145	170	216	252
29985	315	264	254	366	339	329	226	237	907	825
29986	1	0	0	1	0	1	0	0	0	1
29988	219	146	166	244	174	199	138	124	200	203
29989	0	1	0	0	0	0	0	0	0	0
29990	367	244	83	145	275	274	537	426	444	344
29991	0	0	0	0	0	0	0	0	0	0
29992	1	6	0	4	1	0	45	20	2	3
29993	2	1	3	13	0	1	2	0	1	0
29994	678	645	952	1167	1412	1244	1019	1157	676	780
29995	129	128	34	49	162	184	618	596	388	441
29997	509	421	273	373	682	623	616	604	487	372
29998	23	7	6	10	20	26	14	20	18	14
29999	1	1	0	1	0	0	2	0	1	0
30000	915	644	739	1086	1973	2107	597	476	2520	2110
30001	4373	4757	3627	6848	2434	2524	1952	1803	2925	2974
30008	13	6	151	200	933	855	5	13	31	57
30009	0	0	0	0	0	2	1	1	0	1
30010	0	0	1	2	0	0	0	0	0	0
30011	1304	1236	1328	1634	667	696	1582	1403	3028	2903
30012	0	0	0	0	75	78	0	0	0	0
30014	1	2	0	0	0	0	6	1	0	2
30061	7	8	164	275	6	5	407	515	25	41
30062	0	0	0	1	0	0	0	0	0	0
30811	0	0	28	73	3	1	75	73	2	6
30812	0	0	19	28	1	0	9	2	0	1
30813	3	6	3	3	21	22	7	3	4	3
30814	0	0	0	0	0	0	0	0	0	0
30815	430	427	204	279	457	567	197	232	415	459
30816	0	0	0	0	0	0	0	0	0	1
30817	4	8	15	27	55	64	3	6	89	55
30818	59	69	21	33	16	19	14	17	94	77
30819	18	5	12	11	12	17	7	13	9	7
30820	0	0	0	0	0	2	0	0	0	0
30827	418	334	232	315	968	1118	280	283	507	475
30832	100	99	250	335	0	0	89	55	415	403
30833	247	240	239	324	583	596	881	747	474	428
30834	245	228	185	245	389	412	236	243	302	298
30835	1	0	0	1	0	0	0	0	0	0
30836	4544	3678	1267	2059	4679	5029	1688	1445	1941	1819
30837	132	130	60	94	143	154	236	199	166	154
30844	1222	1083	673	1158	489	650	351	284	1004	911
